arrest_date,time,area_name,age,sex,descent,charge_group,charge_desc,arrest_type,rep_dist,latitude,longitude,year,month,day,age_group
2016-04-07,05:30 PM,Southeast,20,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1802,33.9543,-118.2827,2016,Apr,Thu,15-20
2016-04-09,10:40 PM,Foothill,19,Female,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1641,34.2576,-118.4338,2016,Apr,Sat,15-20
2016-04-09,08:50 PM,Foothill,18,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1645,34.2626,-118.4094,2016,Apr,Sat,15-20
2016-04-07,01:10 PM,77th Street,18,Male,Hispanic,Driving Under Influence,DRUNK DRIVING .10 OR ABOVE,Misdemeanor,1258,33.9708,-118.2783,2016,Apr,Thu,15-20
2016-04-10,02:30 AM,Hollywood,20,Female,Hispanic,Driving Under Influence,DUI ALCOHOL CAUSING INJURY,Felony,656,34.0871,-118.3288,2016,Apr,Sun,15-20
2016-04-09,12:50 AM,N Hollywood,19,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1525,34.1867,-118.391,2016,Apr,Sat,15-20
2016-04-08,03:15 PM,Hollywood,18,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,668,34.0981,-118.3136,2016,Apr,Fri,15-20
2016-04-08,08:45 PM,Hollywood,19,Male,Hispanic,Driving Under Influence,DUI ALCOHOL/DRUGS ON BICYCLE,Misdemeanor,669,34.0952,-118.3005,2016,Apr,Fri,15-20
2017-03-11,11:30 PM,Devonshire,20,Female,Chinese,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1799,34.2214,-118.4837,2017,Mar,Sat,15-20
2016-04-12,09:05 PM,Olympic,18,Female,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,2073,34.0454,-118.309,2016,Apr,Tue,15-20
2016-04-17,01:46 AM,Topanga,20,Male,Hispanic,Driving Under Influence,DUI OF A DRUG CAUSING INJURY,Felony,2133,34.2033,-118.6313,2016,Apr,Sun,15-20
2016-04-12,05:38 PM,West Valley,19,Female,White,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1088,34.1579,-118.4945,2016,Apr,Tue,15-20
2017-01-29,02:46 AM,Van Nuys,19,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,952,34.1721,-118.4662,2017,Jan,Sun,15-20
2016-04-16,12:08 AM,West LA,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,899,34.0351,-118.3779,2016,Apr,Sat,15-20
2016-04-16,12:55 AM,Southwest,19,Female,Hispanic,Driving Under Influence,DRUNK DRIVING .10 OR ABOVE,Misdemeanor,375,34.0146,-118.313,2016,Apr,Sat,15-20
2016-04-12,09:52 AM,Wilshire,19,Male,Other,Driving Under Influence,DUI ALCOHOL CAUSING INJURY,Felony,749,34.0618,-118.3191,2016,Apr,Tue,15-20
2016-04-13,10:10 PM,Mission,20,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1918,34.3028,-118.4269,2016,Apr,Wed,15-20
2016-04-15,03:13 AM,N Hollywood,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1553,34.1558,-118.3965,2016,Apr,Fri,15-20
2016-04-15,12:45 AM,Hollywood,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,647,34.1017,-118.318,2016,Apr,Fri,15-20
2016-04-22,08:35 PM,Southwest,18,Male,Black,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,378,34.0146,-118.2872,2016,Apr,Fri,15-20
2016-04-22,11:02 PM,Olympic,19,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,2081,34.0418,-118.3134,2016,Apr,Fri,15-20
2016-04-22,03:29 AM,West Valley,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1067,34.1704,-118.5011,2016,Apr,Fri,15-20
2016-04-17,09:50 PM,77th Street,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1211,33.9931,-118.3308,2016,Apr,Sun,15-20
2016-04-21,01:47 AM,Newton,20,Female,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1383,33.9858,-118.2739,2016,Apr,Thu,15-20
2016-04-24,05:36 PM,Van Nuys,19,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,901,34.2085,-118.4698,2016,Apr,Sun,15-20
